Team 1,Team 2,Winner,Margin,Ground,Match Date,Match_ID
CSK,RCB,CSK,7 wickets,Chennai,"Mar 23, 2019",1175356
KKR,SRH,KKR,6 wickets,Kolkata,"Mar 24, 2019",1175357
MI,DC,DC,37 runs,Mumbai,"Mar 24, 2019",1175358
RR,KXIP,KXIP,14 runs,Jaipur,"Mar 25, 2019",1175359
DC,CSK,CSK,6 wickets,Delhi,"Mar 26, 2019",1175360
KKR,KXIP,KKR,28 runs,Kolkata,"Mar 27, 2019",1175361
RCB,MI,MI,6 runs,Bengaluru,"Mar 28, 2019",1175362
SRH,RR,SRH,5 wickets,Hyderabad (Deccan),"Mar 29, 2019",1175363
KXIP,MI,KXIP,8 wickets,Mohali,"Mar 30, 2019",1175364
DC,KKR,tied,,Delhi,"Mar 30, 2019",1175365
SRH,RCB,SRH,118 runs,Hyderabad (Deccan),"Mar 31, 2019",1175366
CSK,RR,CSK,8 runs,Chennai,"Mar 31, 2019",1175367
KXIP,DC,KXIP,14 runs,Mohali,"Apr 1, 2019",1175368
RR,RCB,RR,7 wickets,Jaipur,"Apr 2, 2019",1175369
MI,CSK,MI,37 runs,Mumbai,"Apr 3, 2019",1175370
DC,SRH,SRH,5 wickets,Delhi,"Apr 4, 2019",1175371
RCB,KKR,KKR,5 wickets,Bengaluru,"Apr 5, 2019",1175372
CSK,KXIP,CSK,22 runs,Chennai,"Apr 6, 2019",1178393
SRH,MI,MI,40 runs,Hyderabad (Deccan),"Apr 6, 2019",1178394
RCB,DC,DC,4 wickets,Bengaluru,"Apr 7, 2019",1178395
RR,KKR,KKR,8 wickets,Jaipur,"Apr 7, 2019",1178396
KXIP,SRH,KXIP,6 wickets,Mohali,"Apr 8, 2019",1178397
CSK,KKR,CSK,7 wickets,Chennai,"Apr 9, 2019",1178398
MI,KXIP,MI,3 wickets,Mumbai,"Apr 10, 2019",1178399
RR,CSK,CSK,4 wickets,Jaipur,"Apr 11, 2019",1178400
KKR,DC,DC,7 wickets,Kolkata,"Apr 12, 2019",1178401
MI,RR,RR,4 wickets,Mumbai,"Apr 13, 2019",1178402
KXIP,RCB,RCB,8 wickets,Mohali,"Apr 13, 2019",1178403
KKR,CSK,CSK,5 wickets,Kolkata,"Apr 14, 2019",1178404
SRH,DC,DC,39 runs,Hyderabad (Deccan),"Apr 14, 2019",1178405
MI,RCB,MI,5 wickets,Mumbai,"Apr 15, 2019",1178406
KXIP,RR,KXIP,12 runs,Mohali,"Apr 16, 2019",1178407
SRH,CSK,SRH,6 wickets,Hyderabad (Deccan),"Apr 17, 2019",1178408
DC,MI,MI,40 runs,Delhi,"Apr 18, 2019",1178409
KKR,RCB,RCB,10 runs,Kolkata,"Apr 19, 2019",1178410
RR,MI,RR,5 wickets,Jaipur,"Apr 20, 2019",1178411
DC,KXIP,DC,5 wickets,Delhi,"Apr 20, 2019",1178412
SRH,KKR,SRH,9 wickets,Hyderabad (Deccan),"Apr 21, 2019",1178413
RCB,CSK,RCB,1 run,Bengaluru,"Apr 21, 2019",1178414
RR,DC,DC,6 wickets,Jaipur,"Apr 22, 2019",1178415
CSK,SRH,CSK,6 wickets,Chennai,"Apr 23, 2019",1178416
RCB,KXIP,RCB,17 runs,Bengaluru,"Apr 24, 2019",1178417
KKR,RR,RR,3 wickets,Kolkata,"Apr 25, 2019",1178418
CSK,MI,MI,46 runs,Chennai,"Apr 26, 2019",1178419
RR,SRH,RR,7 wickets,Jaipur,"Apr 27, 2019",1178420
DC,RCB,DC,16 runs,Delhi,"Apr 28, 2019",1178421
KKR,MI,KKR,34 runs,Kolkata,"Apr 28, 2019",1178422
SRH,KXIP,SRH,45 runs,Hyderabad (Deccan),"Apr 29, 2019",1178423
RCB,RR,no result,,Bengaluru,"Apr 30, 2019",1178424
CSK,DC,CSK,80 runs,Chennai,"May 1, 2019",1178425
MI,SRH,tied,,Mumbai,"May 2, 2019",1178426
KXIP,KKR,KKR,7 wickets,Mohali,"May 3, 2019",1178427
DC,RR,DC,5 wickets,Delhi,"May 4, 2019",1178428
RCB,SRH,RCB,4 wickets,Bengaluru,"May 4, 2019",1178429
KXIP,CSK,KXIP,6 wickets,Mohali,"May 5, 2019",1178430
MI,KKR,MI,9 wickets,Mumbai,"May 5, 2019",1178431
MI,CSK,MI,6 wickets,Chennai,"May 7, 2019",1181764
DC,SRH,DC,2 wickets,Visakhapatnam,"May 8, 2019",1181766
CSK,DC,CSK,6 wickets,Visakhapatnam,"May 10, 2019",1181767
MI,CSK,MI,1 run,Hyderabad (Deccan),"May 12, 2019",1181768
